ipc 420,Cheating and dishonestly inducing delivery of property — penal punishment.
bns 4,BNS: Punishments — general scheme for punishments under BNS.
ipc 307,Attempt to murder — punishment up to 10 years or life imprisonment in severe cases.
ipc 306,Abetment of suicide — punishment for abetting another's suicide.
who are u,"Sorry, I couldn't find relevant information for your query."
ipc 306,Abetment of suicide — punishment for abetting another's suicide.
ipc 420,Cheating and dishonestly inducing delivery of property — penal punishment.
ipc 420,Cheating and dishonestly inducing delivery of property — penal punishment.
ipc 309,Attempt to commit suicide — attempts and legal treatment (varied in practice).
bns 4,BNS: Punishments — general scheme for punishments under BNS.
bns 3,"BNS: Short title, commencement and application — Bharatiya Nyaya Sanhita (2023) begins."
murder,"Sorry, I couldn't find relevant information for your query."
ipc 306,Abetment of suicide — punishment for abetting another's suicide.
ipc 306,Abetment of suicide — punishment for abetting another's suicide.
bns 4,BNS: Punishments — general scheme for punishments under BNS.
ipc 420,Cheating and dishonestly inducing delivery of property — penal punishment.
bns 3,"BNS: Short title, commencement and application — Bharatiya Nyaya Sanhita (2023) begins."
act 66a,"Sorry, I couldn't find relevant information for your query."
it act 66a,"Sorry, I couldn't find relevant information for your query."
ipc 302,Punishment for murder — death or imprisonment for life and fine.
testinomy,Testimony is a formal written or spoken statement given in a court of law.
ipc 302,Punishment for murder — death or imprisonment for life and fine.
ipc 503,Definition of criminal intimidation — threats to cause injury or loss.
testinomy,Testimony is a formal written or spoken statement given in a court of law.
bns 355,Theft — imprisonment up to 3 years or fine or both.
what is it act 66a,Sending offensive messages through communication service — punishable under IT Act.
bns 360,Criminal misappropriation of property — imprisonment up to 2 years or fine.
xyzabc”,"Sorry, I couldn't find relevant information for your query."
